,RegionID,PredictedReturn,ActualReturn,BenchmarkReturn,SizeRank,RegionName,RegionType,StateName
65,394976,0.04896944,0.1382385160784203,0.10169866762419599,11,"Phoenix, AZ",msa,AZ
6,394357,0.04871852,0.09504958107422268,0.08563639007813562,63,"Bakersfield, CA",msa,CA
91,395169,0.047235094,0.13479816597460204,0.10656240119074778,56,"Tulsa, OK",msa,OK
52,394871,0.044086535,0.09691808576765037,0.08965933448359031,103,"Modesto, CA",msa,CA
48,394849,0.042563032,0.11086774025019475,0.08089966231112267,44,"Memphis, TN",msa,TN
58,394935,0.042376127,0.22337070414690308,0.1017250887971417,42,"Oklahoma City, OK",msa,OK
83,395113,0.041810133,0.10891890267526372,0.06498574562157677,100,"Spokane, WA",msa,WA
43,394775,0.039323904,0.11140219681768304,0.06684928804568124,30,"Las Vegas, NV",msa,NV
87,395143,0.039249044,0.3068015554012773,0.08354305086442593,91,"Syracuse, NY",msa,NY
61,394952,0.039227333,0.22214068077601667,0.08616128966773529,71,"Oxnard, CA",msa,CA
7,394358,0.038933832,0.10835958812947433,0.08764885152799207,20,"Baltimore, MD",msa,MD
92,395194,0.038914807,0.09551634171819168,0.07173936786368107,38,"Virginia Beach, VA",msa,VA
1,394308,0.0377288,0.2843622583184999,0.0849753970853393,64,"Albany, NY",msa,NY
80,395068,0.035667792,0.19774675926201346,0.10449788601710885,112,"Santa Rosa, CA",msa,CA
86,395134,0.034720972,0.18610794389843344,0.0779122574502944,77,"Stockton, CA",msa,CA
46,394807,0.033911385,0.21400619279420896,0.0875242659126163,46,"Louisville, KY",msa,KY
19,394484,0.033908807,0.09706769367798596,0.042049495533670544,80,"Colorado Springs, CO",msa,CO
64,394974,0.032780215,0.08966116296581084,0.08358031712938208,7,"Philadelphia, PA",msa,PA
41,394766,0.031507682,0.12302741259092076,0.08429292028318969,82,"Lakeland, FL",msa,FL
77,395056,0.03131395,0.20150505659714502,0.07690438114618692,17,"San Diego, CA",msa,CA
71,395022,0.029406931,0.14500690771651503,0.09225162969629919,45,"Richmond, VA",msa,VA
0,394304,0.028786212,0.14588406857263214,0.04982213482463904,83,"Akron, OH",msa,OH
98,753906,0.02685234,0.10651366847076127,0.07498558646274756,73,"North Port, FL",msa,FL
29,394589,0.02674211,0.24419761624401626,0.07882825419805828,109,"Fayetteville, NC",msa,NC
44,394792,0.025403343,0.0925790254559462,0.07166289283690097,110,"Lexington, KY",msa,KY
50,394862,0.024428295,0.1856550420796208,0.08011342022912538,41,"Milwaukee, WI",msa,WI
39,394735,0.021387052,0.18905955140285657,0.0805895617455934,31,"Kansas City, MO",msa,MO
23,394528,0.020846378,0.1737115850909845,0.08020046335983388,90,"Deltona, FL",msa,FL
79,395059,0.01916912,0.14734347669042958,0.08655774833532615,36,"San Jose, CA",msa,CA
56,394913,0.015835425,0.22880247813035282,0.061663190184916505,1,"New York, NY",msa,NY
54,394908,0.0077981036,0.11404916643505958,0.07624305716320356,68,"New Haven, CT",msa,CT
62,394957,0.007746283,0.16436003763990037,0.062334587500808114,97,"Palm Bay, FL",msa,FL
74,395045,-0.0010330621,0.10088174924150106,0.06067169680014639,26,"Sacramento, CA",msa,CA
